safety_margin_percent,memory_limit_MB,total_cases,correct_cases,dangerous_failures,conservative_failures,accuracy_percent,dangerous_failure_rate_percent,conservative_failure_rate_percent
0.0,768,14,14,0,0,100.0,0.0,0.0
0.0,1024,14,13,1,0,92.85714285714286,7.142857142857142,0.0
0.0,1200,14,14,0,0,100.0,0.0,0.0
0.0,1300,14,13,1,0,92.85714285714286,7.142857142857142,0.0
0.0,1400,14,13,1,0,92.85714285714286,7.142857142857142,0.0
0.0,1500,14,14,0,0,100.0,0.0,0.0
0.0,1600,14,14,0,0,100.0,0.0,0.0
0.0,1700,14,11,3,0,78.57142857142857,21.428571428571427,0.0
0.0,1800,14,13,0,1,92.85714285714286,0.0,7.142857142857142
0.0,1900,14,13,0,1,92.85714285714286,0.0,7.142857142857142
0.0,2000,14,14,0,0,100.0,0.0,0.0
0.0,2048,14,14,0,0,100.0,0.0,0.0
0.0,2200,14,14,0,0,100.0,0.0,0.0
0.0,2400,14,14,0,0,100.0,0.0,0.0
0.0,2600,14,12,2,0,85.71428571428571,14.285714285714285,0.0
0.0,2800,14,14,0,0,100.0,0.0,0.0
0.0,3072,14,14,0,0,100.0,0.0,0.0
0.0,4096,14,14,0,0,100.0,0.0,0.0
0.0,8192,14,14,0,0,100.0,0.0,0.0
2.0,768,14,14,0,0,100.0,0.0,0.0
2.0,1024,14,13,1,0,92.85714285714286,7.142857142857142,0.0
2.0,1200,14,14,0,0,100.0,0.0,0.0
2.0,1300,14,14,0,0,100.0,0.0,0.0
2.0,1400,14,13,1,0,92.85714285714286,7.142857142857142,0.0
2.0,1500,14,13,0,1,92.85714285714286,0.0,7.142857142857142
2.0,1600,14,14,0,0,100.0,0.0,0.0
2.0,1700,14,14,0,0,100.0,0.0,0.0
2.0,1800,14,13,0,1,92.85714285714286,0.0,7.142857142857142
2.0,1900,14,13,0,1,92.85714285714286,0.0,7.142857142857142
2.0,2000,14,14,0,0,100.0,0.0,0.0
2.0,2048,14,14,0,0,100.0,0.0,0.0
2.0,2200,14,14,0,0,100.0,0.0,0.0
2.0,2400,14,14,0,0,100.0,0.0,0.0
2.0,2600,14,12,2,0,85.71428571428571,14.285714285714285,0.0
2.0,2800,14,14,0,0,100.0,0.0,0.0
2.0,3072,14,14,0,0,100.0,0.0,0.0
2.0,4096,14,14,0,0,100.0,0.0,0.0
2.0,8192,14,14,0,0,100.0,0.0,0.0
5.0,768,14,14,0,0,100.0,0.0,0.0
5.0,1024,14,14,0,0,100.0,0.0,0.0
5.0,1200,14,14,0,0,100.0,0.0,0.0
5.0,1300,14,14,0,0,100.0,0.0,0.0
5.0,1400,14,14,0,0,100.0,0.0,0.0
5.0,1500,14,13,0,1,92.85714285714286,0.0,7.142857142857142
5.0,1600,14,14,0,0,100.0,0.0,0.0
5.0,1700,14,13,0,1,92.85714285714286,0.0,7.142857142857142
5.0,1800,14,11,0,3,78.57142857142857,0.0,21.428571428571427
5.0,1900,14,13,0,1,92.85714285714286,0.0,7.142857142857142
5.0,2000,14,13,0,1,92.85714285714286,0.0,7.142857142857142
5.0,2048,14,14,0,0,100.0,0.0,0.0
5.0,2200,14,14,0,0,100.0,0.0,0.0
5.0,2400,14,14,0,0,100.0,0.0,0.0
5.0,2600,14,13,1,0,92.85714285714286,7.142857142857142,0.0
5.0,2800,14,13,0,1,92.85714285714286,0.0,7.142857142857142
5.0,3072,14,14,0,0,100.0,0.0,0.0
5.0,4096,14,14,0,0,100.0,0.0,0.0
5.0,8192,14,14,0,0,100.0,0.0,0.0
7.5,768,14,14,0,0,100.0,0.0,0.0
7.5,1024,14,14,0,0,100.0,0.0,0.0
7.5,1200,14,14,0,0,100.0,0.0,0.0
7.5,1300,14,14,0,0,100.0,0.0,0.0
7.5,1400,14,14,0,0,100.0,0.0,0.0
7.5,1500,14,13,0,1,92.85714285714286,0.0,7.142857142857142
7.5,1600,14,13,0,1,92.85714285714286,0.0,7.142857142857142
7.5,1700,14,13,0,1,92.85714285714286,0.0,7.142857142857142
7.5,1800,14,8,0,6,57.14285714285714,0.0,42.857142857142854
7.5,1900,14,13,0,1,92.85714285714286,0.0,7.142857142857142
7.5,2000,14,13,0,1,92.85714285714286,0.0,7.142857142857142
7.5,2048,14,13,0,1,92.85714285714286,0.0,7.142857142857142
7.5,2200,14,14,0,0,100.0,0.0,0.0
7.5,2400,14,14,0,0,100.0,0.0,0.0
7.5,2600,14,14,0,0,100.0,0.0,0.0
7.5,2800,14,13,0,1,92.85714285714286,0.0,7.142857142857142
7.5,3072,14,14,0,0,100.0,0.0,0.0
7.5,4096,14,14,0,0,100.0,0.0,0.0
7.5,8192,14,14,0,0,100.0,0.0,0.0
10.0,768,14,14,0,0,100.0,0.0,0.0
10.0,1024,14,14,0,0,100.0,0.0,0.0
10.0,1200,14,14,0,0,100.0,0.0,0.0
10.0,1300,14,14,0,0,100.0,0.0,0.0
10.0,1400,14,13,0,1,92.85714285714286,0.0,7.142857142857142
10.0,1500,14,13,0,1,92.85714285714286,0.0,7.142857142857142
10.0,1600,14,13,0,1,92.85714285714286,0.0,7.142857142857142
10.0,1700,14,13,0,1,92.85714285714286,0.0,7.142857142857142
10.0,1800,14,8,0,6,57.14285714285714,0.0,42.857142857142854
10.0,1900,14,11,0,3,78.57142857142857,0.0,21.428571428571427
10.0,2000,14,13,0,1,92.85714285714286,0.0,7.142857142857142
10.0,2048,14,13,0,1,92.85714285714286,0.0,7.142857142857142
10.0,2200,14,14,0,0,100.0,0.0,0.0
10.0,2400,14,14,0,0,100.0,0.0,0.0
10.0,2600,14,14,0,0,100.0,0.0,0.0
10.0,2800,14,13,0,1,92.85714285714286,0.0,7.142857142857142
10.0,3072,14,14,0,0,100.0,0.0,0.0
10.0,4096,14,14,0,0,100.0,0.0,0.0
10.0,8192,14,14,0,0,100.0,0.0,0.0
15.0,768,14,14,0,0,100.0,0.0,0.0
15.0,1024,14,14,0,0,100.0,0.0,0.0
15.0,1200,14,14,0,0,100.0,0.0,0.0
15.0,1300,14,14,0,0,100.0,0.0,0.0
15.0,1400,14,13,0,1,92.85714285714286,0.0,7.142857142857142
15.0,1500,14,12,0,2,85.71428571428571,0.0,14.285714285714285
15.0,1600,14,13,0,1,92.85714285714286,0.0,7.142857142857142
15.0,1700,14,12,0,2,85.71428571428571,0.0,14.285714285714285
15.0,1800,14,7,0,7,50.0,0.0,50.0
15.0,1900,14,8,0,6,57.14285714285714,0.0,42.857142857142854
15.0,2000,14,11,0,3,78.57142857142857,0.0,21.428571428571427
15.0,2048,14,13,0,1,92.85714285714286,0.0,7.142857142857142
15.0,2200,14,13,0,1,92.85714285714286,0.0,7.142857142857142
15.0,2400,14,14,0,0,100.0,0.0,0.0
15.0,2600,14,14,0,0,100.0,0.0,0.0
15.0,2800,14,11,0,3,78.57142857142857,0.0,21.428571428571427
15.0,3072,14,14,0,0,100.0,0.0,0.0
15.0,4096,14,14,0,0,100.0,0.0,0.0
15.0,8192,14,14,0,0,100.0,0.0,0.0
