model_name,batch_size,input_tokens,optimizer_name,experiment_type,safety_margin,safety_margin_percent,memory_limit_MB,actual_peak_reserved_MB,predicted_peak_reserved_MB,safe_predicted_reserved_MB,actual_peak_allocated_MB,predicted_peak_allocated_MB,actual_fits,predicted_fits,correct_prediction,dangerous_failure,conservative_failure,outcome
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1700,1700.0,1634.028860390625,1715.7303034101562,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1700,1700.0,1634.028860390625,1797.4317464296876,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1725,1700.0,1634.028860390625,1797.4317464296876,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1750,1700.0,1634.028860390625,1797.4317464296876,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.15,15.0,1700,1700.0,1634.028860390625,1879.1331894492184,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.15,15.0,1725,1700.0,1634.028860390625,1879.1331894492184,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.15,15.0,1750,1700.0,1634.028860390625,1879.1331894492184,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,32,adamw,distilgpt2_sequence_length_variation,0.15,15.0,1800,1700.0,1634.028860390625,1879.1331894492184,1592.43,1512.9896855468749,True,False,False,False,True,conservative_overprediction
distilgpt2,1,64,adamw,distilgpt2_sequence_length_variation,0.05,5.0,1750,1738.0,1677.2249453906247,1761.086192660156,1600.69,1552.9860605468748,True,False,False,False,True,conservative_overprediction
distilgpt2,1,64,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1750,1738.0,1677.2249453906247,1844.9474399296873,1600.69,1552.9860605468748,True,False,False,False,True,conservative_overprediction
distilgpt2,1,64,adamw,distilgpt2_sequence_length_variation,0.1,10.0,1800,1738.0,1677.2249453906247,1844.9474399296873,1600.69,1552.9860605468748,True,False,False,False,True,conservative_overprediction
